;ThetaOz_acuity_left.csv;ThetaO1O2_acuity_left.csv;ThetaPOL_acuity_left.csv;ThetaPOR_acuity_left.csv;ThetaPO_acuity_left.csv;ThetaOz_contrast_left.csv;ThetaO1O2_contrast_left.csv;ThetaPOL_contrast_left.csv;ThetaPOR_contrast_left.csv;ThetaPO_contrast_left.csv;DeltaOz_dots_motion_left.csv;AlphaOz_dots_motion_left.csv;DeltaO1O2_dots_motion_left.csv;AlphaO1O2_dots_motion_left.csv;DeltaPOL_dots_motion_left.csv;AlphaPOL_dots_motion_left.csv;AlphaPOR_dots_motion_left.csv;AlphaPO_dots_motion_left.csv;AlphaO1O2_form_left.csv;DeltaPOL_form_left.csv;AlphaPOR_form_left.csv;DeltaPO_form_left.csv;BetaOz_color_left.csv;BetaO1O2_color_left.csv;BetaPOL_color_left.csv;BetaPOR_color_left.csv;BetaPO_color_left.csv
S21;0.32240443010714287;0.2994037440714286;0.26577404053571435;0.2856823738214285;0.27640038935714284;0.355711254;0.246256765;0.24830791100000002;0.242019067;0.19297471800000002;0.385142305;0.115444429;0.315906282;0.15331265800000002;0.286037782;0.172479823;0.161281653;0.170881135;0.194610187;0.219492695;0.215196766;0.202970643;0.2988484178846154;0.3445119920000001;0.3392605733076924;0.34364892315384626;0.3294314218461538
S22;0.39670526;0.396924396;0.351572194;0.40844885299999995;0.359790072;0.16691078;0.16424318599999999;0.162786324;0.16316366;0.189599534;0.228673018;0.080989927;0.17661871199999998;0.150148866;0.184496095;0.162277248;0.13781776;0.204901622;0.20720773;0.22980903;0.226097123;0.215618635;0.278667396;0.365388858;0.387221576;0.373396057;0.38187584399999996
S23;0.32240443010714287;0.2994037440714286;0.26577404053571435;0.2856823738214285;0.27640038935714284;0.2984708297586207;0.2780385038275862;0.25880481217241386;0.2706714965862069;0.27019322110344834;0.24886003199999998;0.206832128;0.152515013;0.21326569;0.181836117;0.21907798399999998;0.235088708;0.230639672;0.23112559892;0.20070136407999997;0.25876105367999996;0.20975712988;0.166870115;0.294783142;0.26407310100000003;0.277248593;0.325014869
S24;0.418774773;0.392711425;0.394792954;0.370559834;0.36956828;0.35872428;0.339679358;0.298745355;0.32146200199999997;0.31708126;0.291746273;0.136912924;0.288060319;0.140784648;0.26399300800000003;0.15927829300000002;0.146108082;0.140158191;0.198716542;0.181415971;0.224706026;0.195664693;0.282251918;0.38620691700000004;0.32500675100000004;0.283715536;0.29725961100000003
S25;0.221930608;0.194790858;0.14752237599999998;0.17943681600000003;0.192634677;0.22257599600000003;0.262042198;0.20464856;0.19887960899999998;0.24312592800000002;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.198716542;0.181415971;0.224706026;0.195664693;0.49623307899999997;0.472694919;0.481861231;0.5263844520000001;0.415719444
S26;0.3641652;0.350262611;0.320410017;0.340129474;0.341119291;0.329099673;0.366002781;0.348317253;0.32105173;0.38357337399999997;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.200754397;0.11234242;0.19382661399999998;0.143866148;0.388609651;0.37891392799999996;0.364131566;0.427411214;0.299766883
S27;0.35206712;0.351199484;0.292326039;0.35783293;0.38857272299999995;0.329679455;0.42368803200000005;0.344327714;0.41653604200000005;0.453178536;0.20679019199999998;0.18039618100000002;0.156350411;0.23373027899999999;0.18855608399999998;0.24353481100000002;0.261842038;0.255625507;0.224689195;0.160989608;0.306263721;0.20336816300000002;0.374577285;0.269119693;0.29602060199999997;0.278631317;0.213532627
S28;0.40142690299999995;0.408576554;0.372054823;0.404461191;0.393094016;0.29029483899999997;0.302677482;0.287023969;0.276685556;0.310422815;0.394035995;0.143062725;0.325083755;0.16206220300000002;0.36447978799999997;0.149536872;0.171049313;0.150649173;0.174340341;0.283762872;0.20964122100000002;0.314371398;0.220096636;0.30169362;0.25558718199999997;0.347631532;0.272336246
S29;0.326492;0.315391993;0.267030185;0.30453731;0.311801692;0.176673417;0.224886224;0.200067898;0.220777793;0.250667387;0.255956595;0.170554901;0.33362754699999997;0.161061273;0.275794269;0.181419938;0.194202192;0.159544326;0.178326577;0.312096327;0.212446785;0.469098134;0.342653579;0.228939912;0.24604643699999998;0.252436354;0.158662852
S30;0.227765738;0.249422554;0.188138837;0.222039898;0.21884835800000002;0.13924937;0.161983607;0.122585637;0.143197977;0.147603493;0.202837827;0.175106753;0.17885705600000001;0.17925302;0.160103481;0.18568792;0.227452643;0.19990845399999999;0.263615916;0.09100572800000001;0.318191281;0.10744782;0.549414794;0.516154022;0.523458377;0.517028831;0.475426116
S31;0.299895537;0.348301983;0.326599145;0.32218699;0.358324969;0.247428363;0.253127282;0.274925679;0.275918844;0.308055528;0.213693952;0.19673965;0.26875558;0.18515631300000002;0.248446709;0.18573498800000002;0.178585532;0.18173819300000002;0.22690292199999998;0.15950856;0.21369591899999998;0.18931751;0.46927490299999997;0.486377656;0.45956144600000004;0.5013328420000001;0.44515197100000004
S32;0.274073622;0.254270046;0.248980046;0.271670474;0.273280213;0.350719485;0.363826983;0.385654249;0.38049673799999995;0.39405974899999996;0.24899465;0.233857822;0.22007545399999998;0.276616245;0.23161657600000002;0.278136277;0.315852884;0.28806981600000003;0.27873022;0.193229058;0.318285887;0.19992946600000003;0.335215584;0.311276505;0.334779958;0.283024196;0.271385414
S33;0.229746232;0.237597275;0.228291611;0.24217404899999997;0.24586575100000002;0.251843827;0.230592658;0.23119176800000002;0.219906425;0.231544762;0.17810107100000003;0.21730985100000003;0.14912341199999998;0.19570781899999998;0.126842258;0.232967612;0.25447418899999996;0.231803409;0.13860705199999998;0.23611774600000002;0.160817435;0.278542776;0.325181449;0.374740691;0.389751193;0.37017022299999996;0.30759609600000004
S34;0.236399478;0.184097022;0.143614593;0.12039574900000001;0.160766827;0.202910242;0.19102522600000002;0.17647468;0.13884866699999998;0.19103175;0.144493237;0.384659821;0.120600521;0.459443195;0.117330141;0.444818245;0.6159868620000001;0.512794086;0.316412155;0.128755167;0.419646676;0.25222357100000004;0.224428565;0.20129520000000004;0.207641015;0.20231969100000002;0.16943842899999997
S35;0.32240443010714287;0.2994037440714286;0.26577404053571435;0.2856823738214285;0.27640038935714284;0.2984708297586207;0.2780385038275862;0.25880481217241386;0.2706714965862069;0.27019322110344834;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.23112559892;0.20070136407999997;0.25876105367999996;0.20975712988;0.2988484178846154;0.3445119920000001;0.3392605733076924;0.34364892315384626;0.3294314218461538
S36;0.34160676;0.335160079;0.311103461;0.333114087;0.344175548;0.298830303;0.298433373;0.28900986100000003;0.292837665;0.304795439;0.140469553;0.43765502700000003;0.107985135;0.47644175299999997;0.100748948;0.507310504;0.510521369;0.46687432;0.2971404;0.188681789;0.38162380100000004;0.269735529;0.397819145;0.201122155;0.160216918;0.187579362;0.10987069199999999
S37;0.34614798;0.32409413;0.24589157;0.299147289;0.274553595;0.354537899;0.349930302;0.294532767;0.36165254700000005;0.38114738600000003;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.18667456600000001;0.24125078100000003;0.188394227;0.266740858;0.252816766;0.254613109;0.260461056;0.27926768;0.24001629800000002
