;DeltaOz_Reposo_EEG _AO.csv;ThetaOz_Reposo_EEG _AO.csv;AlphaOz_Reposo_EEG _AO.csv;BetaOz_Reposo_EEG _AO.csv;DeltaO1O2_Reposo_EEG _AO.csv;ThetaO1O2_Reposo_EEG _AO.csv;AlphaO1O2_Reposo_EEG _AO.csv;BetaO1O2_Reposo_EEG _AO.csv;DeltaPO_Reposo_EEG _AO.csv;ThetaPO_Reposo_EEG _AO.csv;AlphaPO_Reposo_EEG _AO.csv;BetaPO_Reposo_EEG _AO.csv;DeltaPOL_Reposo_EEG _AO.csv;ThetaPOL_Reposo_EEG _AO.csv;AlphaPOL_Reposo_EEG _AO.csv;BetaPOL_Reposo_EEG _AO.csv;DeltaPOR_Reposo_EEG _AO.csv;ThetaPOR_Reposo_EEG _AO.csv;AlphaPOR_Reposo_EEG _AO.csv;BetaPOR_Reposo_EEG _AO.csv;DeltaOz_Reposo_EEG_OD.csv;ThetaOz_Reposo_EEG_OD.csv;AlphaOz_Reposo_EEG_OD.csv;BetaOz_Reposo_EEG_OD.csv;DeltaO1O2_Reposo_EEG_OD.csv;ThetaO1O2_Reposo_EEG_OD.csv;AlphaO1O2_Reposo_EEG_OD.csv;BetaO1O2_Reposo_EEG_OD.csv;DeltaPO_Reposo_EEG_OD.csv;ThetaPO_Reposo_EEG_OD.csv;AlphaPO_Reposo_EEG_OD.csv;BetaPO_Reposo_EEG_OD.csv;DeltaPOL_Reposo_EEG_OD.csv;ThetaPOL_Reposo_EEG_OD.csv;AlphaPOL_Reposo_EEG_OD.csv;BetaPOL_Reposo_EEG_OD.csv;DeltaPOR_Reposo_EEG_OD.csv;ThetaPOR_Reposo_EEG_OD.csv;AlphaPOR_Reposo_EEG_OD.csv;BetaPOR_Reposo_EEG_OD.csv;DeltaOz_Reposo_EEG_OI.csv;ThetaOz_Reposo_EEG_OI.csv;AlphaOz_Reposo_EEG_OI.csv;BetaOz_Reposo_EEG_OI.csv;DeltaO1O2_Reposo_EEG_OI.csv;ThetaO1O2_Reposo_EEG_OI.csv;AlphaO1O2_Reposo_EEG_OI.csv;BetaO1O2_Reposo_EEG_OI.csv;DeltaPO_Reposo_EEG_OI.csv;ThetaPO_Reposo_EEG_OI.csv;AlphaPO_Reposo_EEG_OI.csv;BetaPO_Reposo_EEG_OI.csv;DeltaPOL_Reposo_EEG_OI.csv;ThetaPOL_Reposo_EEG_OI.csv;AlphaPOL_Reposo_EEG_OI.csv;BetaPOL_Reposo_EEG_OI.csv;DeltaPOR_Reposo_EEG_OI.csv;ThetaPOR_Reposo_EEG_OI.csv;AlphaPOR_Reposo_EEG_OI.csv;BetaPOR_Reposo_EEG_OI.csv;DeltaOz_Reposo_EEG.csv;ThetaOz_Reposo_EEG.csv;AlphaOz_Reposo_EEG.csv;BetaOz_Reposo_EEG.csv;DeltaO1O2_Reposo_EEG.csv;ThetaO1O2_Reposo_EEG.csv;AlphaO1O2_Reposo_EEG.csv;BetaO1O2_Reposo_EEG.csv;DeltaPO_Reposo_EEG.csv;ThetaPO_Reposo_EEG.csv;AlphaPO_Reposo_EEG.csv;BetaPO_Reposo_EEG.csv;DeltaPOL_Reposo_EEG.csv;ThetaPOL_Reposo_EEG.csv;AlphaPOL_Reposo_EEG.csv;BetaPOL_Reposo_EEG.csv;DeltaPOR_Reposo_EEG.csv;ThetaPOR_Reposo_EEG.csv;AlphaPOR_Reposo_EEG.csv;BetaPOR_Reposo_EEG.csv
S18;0.212635174;0.302692848;0.245805987;0.236541399;0.133158955;0.257399963;0.287988355;0.317971354;0.141247172;0.232610059;0.28320849;0.338549723;0.126703289;0.242987558;0.328880766;0.298502767;0.148907195;0.22903452;0.292504758;0.326171806;0.266951722;0.253804;0.24623313;0.229955575;0.139392792;0.20142366;0.342755348;0.313739968;0.130161865;0.18435911;0.37543235;0.307366307;0.117885078;0.196526371;0.413885892;0.269211844;0.149423255;0.164910941;0.353941582;0.328833056;0.229331708;0.327130845;0.197623643;0.242314144;0.109802762;0.285290345;0.269569901;0.330750701;0.114057295;0.239193085;0.329957385;0.312092277;0.094965193;0.269600748;0.314171044;0.317917957;0.101599141;0.235684799;0.350520122;0.306695814;0.155612236;0.276217385;0.296412815;0.268988361;0.121803385;0.221344557;0.316563319;0.335844515;0.128436339;0.210779161;0.32407976;0.332117003;0.100113673;0.220423736;0.363145606;0.312531728;0.121654201;0.185267784;0.353834449;0.336226083
S19;0.208907798;0.314295403;0.288917434;0.185213647;0.202807327;0.268663948;0.327437945;0.197635413;0.191739633;0.255354617;0.359020565;0.189431762;0.142324363;0.268215564;0.362131989;0.220618829;0.19508112;0.248381996;0.374955101;0.179571188;0.170559449;0.24723653;0.378167374;0.201643656;0.1621574;0.247050744;0.388163949;0.200358123;0.171321337;0.291790143;0.345288584;0.188926981;0.116500067;0.235198267;0.433457528;0.211417714;0.173203935;0.290722923;0.342505544;0.191268463;0.212299184;0.284860879;0.29209205;0.208110953;0.181969898;0.267274035;0.308354596;0.239032349;0.178497364;0.296004335;0.296160331;0.225576389;0.151253901;0.258895559;0.329880198;0.254866218;0.17805585;0.294973293;0.304061364;0.220052815;0.103513269;0.230890014;0.533972493;0.129876276;0.081523626;0.205851259;0.579687108;0.131299188;0.070423092;0.208664055;0.585607206;0.13324467;0.075896006;0.212717135;0.558711271;0.150703873;0.071426721;0.211525628;0.590173673;0.125530215
S20;0.424227998;0.268283831;0.162228582;0.144378231;0.190849231;0.210749147;0.286036239;0.310873717;0.162158489;0.164969255;0.306319458;0.363862799;0.193218336;0.196198731;0.312541768;0.296321807;0.200029168;0.196982285;0.281289381;0.319354446;0.231759795;0.201751466;0.447647867;0.118132007;0.150646261;0.128250105;0.546467544;0.173188776;0.121492494;0.125601108;0.518530397;0.232196037;0.159465076;0.149646457;0.476749639;0.212734403;0.131601694;0.121516013;0.586206422;0.15905638;0.305963636;0.327704361;0.162278182;0.202563344;0.209804531;0.251379888;0.24314855;0.293224839;0.221840668;0.195755795;0.271979886;0.306985753;0.204447082;0.235462608;0.27767371;0.27965974;0.221031227;0.237536414;0.239637417;0.298464262;0.097505912;0.103204504;0.670500556;0.128141749;0.076903466;0.06194811;0.719899833;0.140695415;0.051340183;0.051545351;0.756723306;0.139754503;0.046130787;0.051075234;0.760819795;0.141365929;0.031232099;0.037581742;0.799591947;0.131166242
S21;0.308021815;0.316708603;0.183321884;0.187710672;0.178013569;0.236581216;0.245952148;0.332943564;0.151947577;0.207101231;0.222328381;0.409615284;0.158847133;0.250874069;0.265052633;0.319797216;0.181124166;0.243128732;0.24531405;0.322421315;0.341343617;0.353040121;0.13687116;0.161798941;0.199424542;0.251907928;0.192165066;0.349511006;0.202520588;0.214997812;0.161169896;0.411556415;0.198855281;0.257105109;0.187684319;0.349240243;0.209389342;0.271822925;0.187622829;0.323990286;0.359526065;0.300907361;0.168349815;0.167875588;0.196069912;0.228800285;0.231151426;0.337522621;0.204494016;0.193437356;0.182255221;0.409159239;0.218352563;0.224867485;0.215242422;0.335094825;0.241462625;0.229355396;0.212463789;0.31074582;0.185507933;0.316801775;0.242898122;0.251049895;0.136910525;0.215100789;0.291964664;0.350139734;0.166579186;0.181503073;0.257193577;0.38538628;0.144408569;0.217864942;0.299773603;0.331929654;0.147173503;0.206053934;0.298503722;0.341520026
S22;0.22033672;0.201525427;0.129016347;0.429747419;0.172355003;0.19718176;0.213314018;0.404489763;0.187145384;0.209479778;0.260739486;0.336921068;0.158832162;0.208674794;0.213601875;0.406181861;0.18766832;0.188057139;0.221803165;0.390343951;0.265905569;0.233688027;0.130696613;0.3524672;0.189829672;0.197232683;0.19510462;0.404572958;0.239492824;0.188055646;0.21742584;0.348132297;0.211574635;0.184529699;0.199800434;0.392289514;0.186595116;0.212451021;0.196546601;0.390922775;0.253881629;0.177624705;0.132865879;0.403901826;0.157228728;0.147762116;0.228158153;0.441867846;0.174062569;0.144510285;0.266231937;0.401110727;0.151836606;0.161866622;0.210823649;0.449169553;0.15391159;0.159326701;0.221036141;0.440507855;0.113077965;0.129640326;0.309647611;0.424037747;0.082199013;0.10193396;0.463773837;0.337458014;0.11294036;0.096827805;0.51712563;0.265687591;0.099085176;0.098857901;0.444968905;0.341507635;0.081465004;0.105837932;0.475510308;0.324491662
S23;0.19931112;0.251830476;0.347833731;0.195003999;0.082171114;0.210200644;0.384441776;0.311437356;0.073376764;0.209765955;0.404005822;0.303112946;0.086586199;0.217519692;0.445227155;0.243771767;0.088028459;0.200062883;0.421050584;0.281111844;0.324132463;0.278523336;0.140710477;0.249318057;0.323764472;0.279041396;0.140677247;0.249185321;0.3242345;0.276283437;0.141957536;0.250165339;0.314908193;0.279731298;0.148642269;0.249575105;0.324952683;0.277946957;0.140796232;0.249019693;0.274775309;0.279467974;0.228880567;0.212507199;0.119464443;0.231197127;0.276947469;0.364247342;0.070141696;0.221459963;0.316333361;0.383436209;0.12821635;0.25031345;0.308292286;0.307030854;0.102638261;0.229036045;0.306889176;0.353206979;0.087301009;0.082469559;0.716869783;0.110429762;0.060389946;0.074458508;0.699244096;0.160375287;0.047636047;0.08048729;0.721232288;0.145205473;0.059251182;0.082685895;0.720688397;0.132880503;0.050158076;0.063444811;0.765634246;0.117110153
S24;0.239411385;0.328904913;0.241296463;0.18863771;0.222933535;0.321719308;0.234109027;0.219468634;0.260652103;0.317073815;0.215585648;0.204590926;0.201356642;0.317912979;0.255032042;0.223349041;0.244646742;0.305201901;0.246683403;0.201302251;0.184810177;0.324144424;0.341237538;0.14728515;0.134736108;0.266559644;0.402261013;0.191554925;0.173036507;0.235896662;0.408985845;0.177682756;0.163905856;0.2820677;0.326879718;0.221326671;0.105241265;0.20669825;0.529404202;0.155787656;0.28330729;0.250533859;0.317923872;0.145805309;0.221650622;0.235677806;0.359699353;0.179050746;0.239345801;0.239749869;0.32363108;0.193027484;0.209972055;0.227412331;0.362616861;0.196261403;0.19848068;0.203098413;0.401003444;0.194243796;0.078346676;0.069474141;0.792051919;0.059393913;0.036896226;0.032056372;0.872361685;0.057907385;0.033632913;0.034009973;0.871126772;0.060400682;0.045052741;0.042964594;0.839448861;0.071762799;0.018393616;0.022222865;0.913243523;0.045611906
S25;0.203035909;0.234400368;0.155910795;0.397782166;0.17291559;0.220648877;0.191410366;0.409065279;0.241483089;0.252739039;0.157622387;0.344481899;0.187158073;0.208348216;0.168887403;0.429527576;0.151518251;0.183542047;0.179145446;0.481409619;0.224526848;0.152084854;0.147637386;0.463792577;0.096383165;0.159950658;0.200579604;0.526698982;0.155559385;0.205112369;0.188274852;0.436781157;0.105275934;0.152180089;0.214255414;0.511695807;0.117377538;0.153226159;0.178973234;0.535528884;0.149404898;0.152470956;0.151178612;0.525973622;0.145751782;0.177354495;0.149553341;0.512982861;0.175386534;0.192853965;0.124263887;0.497082563;0.1170489;0.143549688;0.145807313;0.581637225;0.096241239;0.137576371;0.123466593;0.626513724;0.094669445;0.133350225;0.236356026;0.525523254;0.074378321;0.118600898;0.255009206;0.546412143;0.098012051;0.13547646;0.217536881;0.544733945;0.070877321;0.119808169;0.247864184;0.554618627;0.061407297;0.112031018;0.226519838;0.593892629
S26;0.144811569;0.308471197;0.290405214;0.252100185;0.072116298;0.29732045;0.39636979;0.230583083;0.100823281;0.30358784;0.393840829;0.198558663;0.074167124;0.271583446;0.399806974;0.249605863;0.109530307;0.274548903;0.415838521;0.197549006;0.114971344;0.316459044;0.235194637;0.328316174;0.108716273;0.328433816;0.273636702;0.287328201;0.17006467;0.324956297;0.270051319;0.2333127;0.127448144;0.277009542;0.288909839;0.304288501;0.147149464;0.302605462;0.284382455;0.26339736;0.203195305;0.324599866;0.19054264;0.279138032;0.150599898;0.326280236;0.254887338;0.265832785;0.201854748;0.305842974;0.262992638;0.227299971;0.132020174;0.311590839;0.259131173;0.295023701;0.226100006;0.255969556;0.268463589;0.247084989;0.100323978;0.240852873;0.400259025;0.255348224;0.04550265;0.200026928;0.549163135;0.2036623;0.041005653;0.181184125;0.607314477;0.169343867;0.039560124;0.157253831;0.628603797;0.17293961;0.045807081;0.151555564;0.629674091;0.171418333
S27;0.155525433;0.379507788;0.243179621;0.219251247;0.094900058;0.49244388;0.267891912;0.143591418;0.072882574;0.56576444;0.254691971;0.105828315;0.094086359;0.455256154;0.305983998;0.143513822;0.074378361;0.474608718;0.301712054;0.147975831;0.144588616;0.230165399;0.351158831;0.269002804;0.081623918;0.253529367;0.494301235;0.168234466;0.057467947;0.275382986;0.529390537;0.135825438;0.070349316;0.217399099;0.545761925;0.164477796;0.060306892;0.264655509;0.499621527;0.172507484;0.191960452;0.317857;0.22320497;0.263000314;0.118637221;0.360100278;0.33221805;0.186586451;0.094472988;0.400414243;0.344041876;0.159011719;0.117576241;0.299178137;0.379500826;0.200863241;0.10651009;0.350271839;0.338200754;0.202345671;0.075185881;0.121205392;0.604818836;0.196159824;0.030069369;0.084575785;0.806330278;0.078215612;0.025388796;0.081295235;0.832570864;0.060090343;0.026101769;0.070480913;0.824343165;0.078147274;0.036227724;0.082371674;0.787439508;0.092821238
