Group;DeltaOz;ThetaOz;AlphaOz;BetaOz;DeltaO1O2;ThetaO1O2;AlphaO1O2;BetaO1O2;DeltaPO;ThetaPO;AlphaPO;BetaPO;DeltaPOL;ThetaPOL;AlphaPOL;BetaPOL;DeltaPOR;ThetaPOR;AlphaPOR;BetaPOR
0;0.122378288;0.394166937;0.253908424;0.226716276;0.08807947;0.398853217;0.33068378;0.179236894;0.092243427;0.380178489;0.369543358;0.154743596;0.089243998;0.361884216;0.365158458;0.18074448;0.116150832;0.3545916;0.321176014;0.203663294
0;0.156332765;0.562816593;0.132546363;0.145219424;0.071333081;0.693215617;0.142878427;0.091247699;0.056469642;0.710073613;0.158278315;0.074390792;0.068963715;0.661681009;0.170471405;0.097419383;0.071242456;0.696202991;0.14644423;0.084939765
0;0.298209024;0.351335702;0.18994838;0.156357069;0.278964933;0.35505102;0.197551593;0.164994895;0.273348867;0.362482179;0.191603298;0.169975279;0.307626814;0.352858492;0.181223112;0.155572499;0.251091671;0.330120062;0.213433403;0.201910086
0;0.220446197;0.352452805;0.20669571;0.217538186;0.219729137;0.312837413;0.246378114;0.218133883;0.262019204;0.289843846;0.23614397;0.208414865;0.236152199;0.271826666;0.253481894;0.23539651;0.214253512;0.27065974;0.267616316;0.243634554
0;0.12044644;0.260698179;0.246870481;0.368059104;0.092332635;0.285239095;0.283980737;0.334901985;0.060400916;0.237585385;0.317627091;0.380644779;0.068996701;0.187824492;0.308948779;0.430485106;0.059018082;0.257362472;0.326345262;0.353613948
0;0.188771258;0.408409736;0.192384451;0.207721912;0.178869802;0.41585222;0.191618438;0.210633142;0.236275361;0.417668045;0.168245529;0.175374468;0.204205841;0.387678722;0.191065478;0.214149963;0.233162373;0.410281161;0.175393329;0.178396718
0;0.123622089;0.315202988;0.332173581;0.22594097;0.127320119;0.293046134;0.347565603;0.229350173;0.15312454;0.275197718;0.337941859;0.231110647;0.143545141;0.263507654;0.358104917;0.232533994;0.141705132;0.260633098;0.360248257;0.233957196
0;0.17298424;0.260970784;0.198670975;0.353685238;0.156365832;0.291381912;0.23231357;0.308742324;0.167096905;0.278310363;0.231746999;0.311824666;0.152106219;0.284740427;0.252120362;0.299769798;0.153075853;0.27677349;0.211954826;0.34718637
0;0.130844312;0.283429871;0.407075296;0.176565372;0.125753063;0.271952136;0.448859649;0.151968865;0.151400259;0.24092954;0.477286285;0.129198906;0.109035796;0.202650566;0.525060449;0.161460005;0.104744895;0.184218895;0.558970225;0.150455082
0;0.180876289;0.429148632;0.164966853;0.220408608;0.263893082;0.434642978;0.131838819;0.165566564;0.408206364;0.381377917;0.076537274;0.129841453;0.2460396;0.405957576;0.135331614;0.208123371;0.270169489;0.355568483;0.106479386;0.257678829
