;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S13;color_right;23.86736597;28.31956291;40.02946354;128.7242876;6.585456442;11.26915556;25.48828849;70.04601651;19.91027648;22.81928267;31.44753974;97.19997643;21.44923448;25.52434002;34.56842077;111.8731272;27.85058907;29.64140627;42.42712542;140.4383584;36.90416485;35.37286203;42.11631914;144.4931556;36.75046238;35.11109313;40.81460682;138.9569639;30.67920188;32.16589246;41.88457217;139.8309847;28.86001864;29.48704192;38.64920008;126.5705384;34.07846378;30.5784721;29.93152101;99.77052359;-1.28382;-3.063;-3.02205;4.01606;-4.08031;-2.56667;-5.00589;-0.772827
S14;color_right;27.40619459;28.05997349;44.89262363;156.7764668;15.71162636;19.26797973;41.63838474;145.6066755;24.34082846;26.05336764;42.39586478;138.0039885;28.21973578;27.94921224;43.30707238;136.8083559;28.62276065;33.08034785;48.05471029;163.0568364;31.35821226;34.13176751;47.03420612;151.0779251;31.58574996;32.3191065;44.5522583;140.2937485;34.37456378;34.53456644;47.27601488;153.1080488;31.1672546;32.82636218;45.33070666;144.4547518;31.20990836;28.55813025;39.60028066;103.9486137;11.7799;13.1588;8.99447;-0.157711;2.31322;12.5279;4.80594;1.78552
S15;color_right;31.60936554;28.61389963;40.75553909;128.318543;6.21585027;4.119729212;23.52402818;66.7776322;25.96805774;22.38046039;34.28472369;102.480761;21.15943755;20.70771125;32.31969359;96.29061055;4.871975708;18.18938783;41.10569604;138.8863206;37.01438029;35.87891122;44.60949646;142.4225179;33.73956659;33.23487837;43.08665095;136.0857282;7.026728551;22.20343834;41.86086283;132.2051718;10.54973605;22.50045634;42.05796204;132.8327034;32.37161244;28.38805193;35.29639626;91.93496137;0.90619;0.455081;-2.62524;-0.321592;-21.5179;-4.53948;-8.61962;-9.09954
S16;color_right;29.68849101;27.20582124;34.47733909;91.56858307;11.44576247;9.393455037;18.11107737;43.68109015;27.98231769;24.00195162;29.67483396;72.67408976;27.8061209;25.88499336;30.41099062;69.88905541;23.76817667;25.57868025;39.40361831;134.9441246;33.13853919;33.52399725;41.10365176;131.7507611;33.48409821;32.85504571;41.56835908;128.5854101;29.2799261;30.03763583;40.71979933;129.8204004;29.1751533;27.40092404;38.74211891;126.6363746;33.7708955;30.87945229;33.04301271;83.83573375;-2.85385;-7.15797;-8.6043;-0.147078;-6.88192;-11.4766;-8.87409;-3.49168
S18;color_right;27.25517132;31.03015353;41.76392154;135.980616;9.214933853;15.54122427;30.87360342;99.72353943;21.52532092;25.79646209;35.5681144;113.0017355;20.62271566;26.69209088;33.24463586;103.2189763;24.90570214;30.93504676;44.59196347;153.1625079;34.03594554;35.73234885;42.72121518;135.3016408;32.9777808;33.93755607;39.29482645;131.7337946;29.96743354;33.42538206;42.56811484;137.6113822;28.93461804;30.08223761;39.22671837;129.827145;28.83332688;28.52981079;27.24284815;76.44139619;2.43327;-3.06435;-3.04144;0.00907596;-2.8661;1.17562;-0.69755;-0.355145
S19;color_right;27.38691706;30.06425703;43.91075238;132.6719911;8.737228725;13.4131289;31.63029478;77.72931516;20.79630607;22.77682889;35.66496816;98.28556882;19.12474856;21.42248488;33.68290849;95.07021487;27.63026128;30.26467323;43.99730814;140.3784455;33.67914731;32.48967703;41.70341735;130.0406047;33.52455735;31.16754129;39.67476778;123.417306;29.63299317;30.1168804;40.68831026;130.7843044;30.9588176;30.07662254;40.53015455;120.4792777;25.92768068;20.99273965;26.44706134;68.57987118;-1.31327;-6.81173;-9.58306;-4.27906;-2.33766;-2.53266;-0.218472;-4.40333
S22;color_right;28.68465895;32.1764458;40.86454996;129.0609267;4.862416053;10.71693081;26.02798074;66.57536194;26.29624472;29.30054925;35.97724668;113.7112834;23.36257697;28.70017546;37.23262839;114.2924904;18.20939589;24.18294864;42.70808732;136.5570895;38.06961875;37.26258337;45.95802369;153.877591;36.97182676;36.67725897;44.5794421;152.6470209;20.22477004;26.68719347;43.73806658;136.5868144;22.81822091;26.97023202;42.0440479;135.6425234;36.2677754;34.76569627;39.36660614;128.61786;6.09381;6.81499;4.43691;6.73109;-12.5823;0.323938;-6.14629;-2.22575
S23;color_right;33.79916608;32.1676934;40.14062503;140.7862718;13.31329424;15.69658751;24.39981596;106.1029602;29.69366532;28.43580855;35.38013845;120.907545;33.00379484;29.35416409;35.29337798;121.2456632;26.84392164;30.74162615;42.01844247;154.2242155;37.78444317;37.10046719;44.68813407;147.6730644;37.65460417;36.40743016;42.83604051;144.0166274;31.01018351;32.740761;41.72181557;146.0509221;27.37824786;31.38311232;40.7142638;146.8635868;36.07754512;33.07951855;35.16637626;110.919364;9.277;4.38016;6.63163;7.12695;-3.1448;4.29378;-3.44656;1.45943
S24;color_right;30.95021589;30.06420043;43.63824784;145.2862666;13.86627276;15.12507389;37.59509891;116.9646453;26.49400378;24.92871774;31.49426776;99.61043064;26.01374509;25.6915449;39.40158818;125.2542354;29.51036462;30.68820209;45.77381635;155.3321489;36.46983844;34.29047239;38.3092718;129.7485036;35.71985238;33.62979026;39.21050195;130.9549046;32.5693537;32.27154317;39.84434008;134.1948641;32.4445102;31.74267652;40.65909518;132.5080347;32.81909744;27.57701395;22.93343199;68.63837328;4.53776;-5.13653;-4.26206;0.833945;1.23041;2.9161;0.739275;-1.4104
S25;color_right;7.55184322;13.72562446;32.82365732;123.358559;4.943524097;7.30458502;21.34711652;80.70726282;11.36440427;15.71348726;30.50129818;107.2759768;7.218403966;12.81398345;24.50555736;86.24338232;35.00178143;34.79697115;43.30630836;148.4455341;35.44243459;34.86204369;39.0989042;127.8278592;36.6095751;34.54623253;39.00937825;131.0642713;30.17188126;30.74353367;37.93860905;121.5717525;34.53441276;33.60859194;40.99190722;138.0505292;31.74435696;28.09836499;24.66260745;71.30873763;-19.013;-13.6778;-7.1482;1.40784;3.36486;-8.7577;-1.00951;-0.20072
