;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S14;color_both;24.2215893;28.39385725;45.55203251;155.9997185;11.43089432;18.62742478;42.60264052;145.2929199;21.71729852;25.73686705;43.4020453;130.9352321;22.38669019;28.28931588;43.89817843;140.4371745;24.55650669;30.58264541;48.06888512;162.9108452;29.37250953;31.48317498;46.19743523;142.5283;29.89225091;33.02214546;46.29661322;146.4055288;30.39007596;33.55180063;46.57041157;145.3321231;30.03001374;32.39102463;47.10801963;149.902699;26.78403348;28.62527304;41.09474962;100.6233919;8.64399;-1.46641;13.3845;7.63786;6.74869;-3.88965;8.80502;0.707174
S15;color_both;32.78011548;30.42908489;42.28536017;131.8984279;6.16659786;7.094438441;25.41791286;68.99675091;28.14129835;25.31100631;35.36397023;101.9410427;22.85948322;22.10814077;32.51729628;96.29337989;9.237447203;21.47862583;41.42548678;136.7219475;37.7015544;36.34514723;44.80186503;141.2466981;33.69327252;33.21447522;41.27480668;129.3193384;11.96668453;24.07848436;41.74942443;132.7954801;15.10926237;25.66185463;41.65848011;128.0744342;32.94471683;28.69870397;32.89909008;85.159033;2.95902;-18.9847;-3.22708;-1.83251;-2.00377;1.58446;-0.928344;-4.80664
S16;color_both;21.81729208;25.13789791;33.78239561;98.2787701;5.671681034;8.347779274;16.76835488;45.88608846;18.19012699;19.76639835;28.16099444;83.87476452;20.89270075;23.39254265;28.63532929;84.11775048;15.46575487;26.41082943;38.06458128;139.3487236;25.83491129;33.31049747;42.33908428;148.5537188;29.52337157;32.99184235;39.91250503;144.0795852;24.01165857;30.88736703;40.99251276;140.6966679;21.13566119;26.98077494;38.54447165;135.4114293;25.27754141;29.07798617;33.10405112;117.7845982;-6.14666;-12.8706;-11.1223;-6.67805;0.464963;-2.73679;-3.18725;-0.730226
S18;color_both;28.05146844;29.29485424;43.06079873;136.0340583;8.281753218;12.13920602;32.11598377;94.7605839;25.434716;24.31384029;37.25857599;113.4770781;25.27513093;24.57668743;35.32075918;102.5612204;20.55144206;29.75888592;44.44768782;151.0409339;34.35806511;35.60807752;44.01459358;139.965365;34.03077769;32.43362371;39.90377912;129.1434777;26.36766551;31.67733836;43.71851826;138.7159354;25.53982287;28.4258987;39.43550855;127.9372666;31.29420974;26.63052671;29.61062478;79.15894488;3.91583;-7.46397;1.47687;0.488549;-2.64451;0.658388;-0.403095;-1.6338
S19;color_both;25.01946843;32.8364621;45.8331806;143.34417;7.422628804;17.44109803;34.64697929;90.96797492;18.32272014;26.11230461;39.94282986;114.3928633;18.57858419;25.65039958;32.87589196;111.6689675;27.90305506;31.69184482;44.50897352;141.2713264;34.48033857;34.26538402;43.28595541;134.2444967;34.48648946;33.45021406;39.41984238;131.833523;29.7790007;32.38899646;41.00324899;133.5433527;30.75352533;31.74276943;42.42533706;125.4921541;27.59831225;25.51543208;27.95003987;84.45834013;2.68391;-1.86997;3.11037;0.124894;-4.87964;-0.42143;-1.02204;-0.499267
S22;color_both;29.64730623;31.20442538;41.55463697;147.0970373;7.437062579;14.26211649;28.57809703;104.3362258;26.77960504;27.3092071;36.73843371;131.5988762;24.8051627;28.44130364;36.69060078;142.8873202;23.04810736;29.82301965;43.53516581;149.7277172;37.69156106;36.81526111;45.42606596;155.7787986;36.24288713;36.5438779;44.63978035;156.2706716;26.33197039;32.07829297;44.28392272;149.6681612;27.75898265;31.19779185;43.59590589;140.2368392;35.53586037;33.57907084;39.26946144;133.3837892;7.7237;-7.15233;7.22737;5.01096;9.39914;6.23993;4.58921;2.27096
S24;color_both;29.28706593;30.79063728;44.56965857;137.4513233;13.13086345;16.71030464;37.31541762;102.3963234;24.16644521;25.4457684;34.6572157;96.92582631;23.99026651;26.36200091;40.44129679;113.9509847;29.7953685;32.08901609;45.87215468;149.0160996;36.01026186;35.00784874;41.81648609;129.3895018;35.61035041;34.24081708;42.0656766;121.7519047;33.65823048;33.72839778;42.43394049;133.7700774;32.94098844;32.61556633;42.95508147;126.5015509;33.19227631;28.47856057;29.35960722;65.46095667;5.21454;0.997053;2.67245;0.695472;-5.24866;1.79623;1.01354;0.543186
S25;color_both;9.281367681;18.57061805;36.24251707;121.6424651;3.732141735;10.52062892;26.98419753;81.63123172;12.52968431;19.3139466;33.14400305;99.16159126;7.986334384;17.36981702;28.73324275;93.68936929;34.06618243;35.63742305;45.40387746;149.7708568;35.39134564;35.1870165;40.30728166;118.1583333;35.59668663;35.5450894;40.81866866;137.1940117;29.48135712;33.45763935;39.39898012;118.1433792;33.70997041;34.76372669;42.893041;137.5097981;30.88904122;30.22695862;26.74153703;67.37671869;-13.3319;5.06053;-6.68574;-2.75488;-6.88709;1.31348;-5.78935;0.904506
S26;color_both;17.90420075;24.11523558;35.4772866;131.3632935;9.224791749;14.82927913;24.43755847;95.29989394;18.82058298;23.16731697;32.250304;109.2538179;15.67420279;20.78230934;24.9321356;92.16270191;35.35460794;35.16026505;44.21354222;151.9949856;37.34360167;36.04626589;39.42821856;123.9518738;35.43209085;35.01025213;39.60233072;131.7545857;34.46853702;34.28244811;37.9590671;124.4732223;34.97298005;35.21414114;41.48204526;130.3574148;33.38789582;30.81497024;24.06550118;63.02626123;-7.1402;5.97502;-4.28043;-3.35159;-6.79072;3.20455;-6.98923;1.29843
S27;color_both;16.1646405;16.31152543;30.27127279;114.6782582;9.972005867;10.03187652;25.07905102;78.92431765;16.1860786;17.95746516;31.5193256;110.9427993;14.31211827;13.95839767;25.47079757;94.0095155;32.19982979;33.93519319;44.96229326;136.3104922;30.1059081;31.26283538;40.82514685;134.7703106;31.19803281;32.97728496;40.32678407;124.5525703;32.96044563;32.0315084;42.59144683;136.6738629;35.20489611;35.42565762;43.93852424;135.575759;28.73749319;27.67581577;31.99033645;97.57875525;-11.8422;4.7262;-7.5447;-5.36104;-3.22759;-2.73917;-2.36696;0.133876
S28;color_both;9.228355852;15.24683114;31.4058312;105.8185899;5.940453858;9.113637076;23.12972835;75.99204781;15.54086567;19.97049719;32.83604961;105.3741291;9.096018689;9.888506159;22.99972311;79.28823887;25.75519962;31.3363141;42.92071257;146.6559834;25.55089699;32.1323174;40.65686673;130.8587729;23.23559896;29.13972785;39.46759611;133.9388296;27.97995006;29.39278074;40.11575229;130.5983866;34.12559061;35.07939756;43.62039093;141.2244821;23.67868006;24.69812137;30.1408998;85.58664743;-15.8717;1.86255;-9.84135;-6.92321;-4.27373;-8.19541;-5.63459;-2.5631
S29;color_both;7.395825126;16.09146126;36.41977219;121.3809258;5.297355948;7.38017519;25.55726941;77.97041201;8.965971686;18.29530189;32.93759891;114.3092765;7.390455569;12.96762176;25.81533345;100.4513457;36.8784223;33.8154227;45.59459579;146.306607;37.13450599;34.32369673;42.0107115;139.5213171;36.57756761;33.57069005;41.84695366;137.9995333;35.23125119;31.15046104;40.6909904;131.9763056;36.27854201;34.73703918;44.2866441;139.6400085;35.12506368;29.4492142;30.0820176;101.8944195;-14.9428;6.37492;-5.45327;-2.85533;-1.79556;2.97373;-3.28174;-0.278286
S30;color_both;17.96845621;20.16547155;39.47907309;110.2363249;11.21490808;10.62722952;31.05336325;62.30711345;19.22122768;19.80194334;37.35574701;107.3152884;18.92564458;19.07231729;33.22905418;81.47043486;36.32214211;34.21068434;45.81488598;142.4469365;36.7427826;33.4338585;42.17953109;135.967485;36.39957315;33.87026065;42.77305963;126.9007438;35.11012268;33.05489464;42.94030907;126.6446178;35.18392802;33.13083884;44.54867045;134.3507488;34.79903032;29.67021548;33.96091965;90.42957314;-5.97344;5.22162;-5.03682;-1.18855;-3.78916;2.4081;0.29751;0.340801
S31;color_both;16.90407795;14.75646002;29.6846874;71.16234864;9.027989518;7.127797574;15.3694241;29.75475983;20.997867;16.39343928;23.94598578;49.87503721;18.74031563;12.76853952;23.47735487;53.26690135;33.96353273;35.87878302;43.13317198;146.9687873;36.48909001;36.96527782;42.79808892;142.9660058;33.02026623;36.09625279;44.39515626;150.757324;32.55319327;34.4025289;42.42858254;144.4137525;32.68526217;35.86782;43.83726644;147.3643444;32.65751162;33.17847213;36.13728365;116.9136849;-14.4265;3.4968;-18.449;-4.71744;2.03034;3.99032;-2.93506;3.24526
S32;color_both;20.59636499;22.26900139;41.47023174;138.7919917;12.10885519;13.73028692;33.81344525;103.0961756;22.61202873;24.47466648;39.9245535;125.9721609;21.95404092;21.04952023;37.71962601;126.4946341;36.08314428;36.54965885;47.15192456;156.3304451;37.30016802;37.30282603;46.12778342;150.2502445;36.05063361;36.17609619;46.01824066;154.4347168;34.70936309;34.07922539;44.88081299;147.1327606;34.45299449;35.56512216;46.0761706;149.1976942;34.70934578;33.0642088;39.88490944;123.2496404;1.8658;4.57109;5.90797;6.96983;8.24059;5.42994;5.20747;3.15827
S33;color_both;8.255520814;19.96262017;33.17387381;106.4808282;6.990725568;10.32430237;15.87246755;53.44864475;11.77818699;16.07077129;15.09801173;73.15578658;10.1077103;8.854176735;18.52436147;47.46935582;32.13359448;24.04252997;15.38587128;107.1524904;31.79776355;27.95179407;20.85643377;104.7421405;26.06604128;17.19504883;12.47538861;91.31778748;35.45627729;34.30150224;42.72560907;144.4314125;34.55746365;35.38614891;46.38737966;148.7541218;35.963424;29.64258573;34.87018092;106.7698897;-22.5447;4.99088;-21.9586;-37.7486;-9.70849;-8.78426;-2.83042;1.70214
S34;color_both;7.344738171;16.95732837;33.18375627;117.7538993;3.216815825;7.850634063;27.1862726;76.33012559;8.764782844;18.55247801;33.42130422;108.1814595;12.33249349;15.8375371;31.01744694;84.27134432;35.19133977;35.7763269;47.14925994;151.2216003;35.39765628;34.42858066;41.81705216;135.2443064;31.35277268;29.99517548;38.27938264;117.7852185;31.36185494;30.06692746;40.3755705;124.9219782;26.06087328;28.28798324;39.78280254;122.334313;27.68030712;20.72916675;26.39706029;65.11579843;-13.9753;0.415164;-7.13251;-3.59023;-9.94655;-2.09967;-7.24706;-4.00904
S35;color_both;4.399096348;15.24399088;32.47408105;108.4211504;6.544601292;8.061696192;21.97253425;65.24421091;4.88664548;17.4981185;33.96351505;107.9006921;3.652407856;13.55586904;25.30515356;81.87368031;35.99920745;36.03101071;44.55404335;144.7656833;37.7784782;36.65093025;44.22258472;139.9041887;33.54678364;31.28412345;37.11025482;119.9555793;33.52382311;33.58101227;40.94263246;124.5534787;32.21355602;32.36172787;41.67567905;128.8771339;32.88495764;27.94672178;30.94525287;80.39583518;-17.9199;4.87209;-9.67991;-4.73275;-6.7482;1.76664;-6.02041;0.319361
S36;color_both;12.48659506;15.9587266;39.00704502;132.1505791;7.762908957;9.864282958;29.95094149;76.66604612;15.36021149;16.84861052;36.35885158;125.8804944;13.3423721;15.48690555;31.6326736;93.4644507;37.72677313;37.3808206;46.26987677;139.5647323;37.39193171;36.84555183;44.54255906;137.3077859;36.72846527;35.81479718;42.8282529;138.6856274;35.53319414;35.50205276;43.10345203;121.6775501;35.39578827;35.58647623;44.34104903;142.1642837;34.82263616;32.42908312;34.01463646;95.3198779;-10.0768;7.70024;-3.09622;0.814547;-1.31158;4.88672;-0.0198991;2.97267
S37;color_both;26.84921086;26.52424835;34.70380139;124.7068086;16.14460313;14.44870733;24.58394498;84.53164132;27.43190976;24.96754678;31.4753123;110.2762163;24.89816306;20.46683519;25.06215767;85.98912649;35.81094991;34.56417691;46.72418592;150.7438333;35.53051554;33.55371727;39.18411915;130.0313271;36.35829983;33.66448491;40.26966962;127.8259539;31.85517347;29.71923531;35.99500865;119.3001791;34.04595012;33.29177488;41.31757019;135.4294435;29.55034936;23.50384244;21.47979257;67.2517029;-2.49739;4.50145;-4.7458;-2.75884;-7.43705;0.630554;-8.6327;-3.43382
