;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S18;form_right;24.49359859;29.89729445;39.04842605;136.5424301;9.218969861;15.11219616;28.48611591;103.3207264;19.85743702;24.41281404;34.73570724;116.3116883;21.00683765;26.03280223;34.93575813;117.082237;26.65318021;31.34771524;45.46248672;153.564979;32.9787468;35.21862471;45.41116186;143.1941406;31.50362767;33.89237626;42.17532037;137.9692201;30.2115681;33.16370584;44.63023261;145.809778;25.59821212;31.2971264;41.20183174;132.3307346;26.61885083;28.44568245;34.86550078;97.14196024;0.932422;2.8589;0.942067;-0.723306;-3.97451;1.48071;-3.5223;0.569884
S19;form_right;21.21962985;32.29743838;44.99492988;135.1040549;7.901478687;15.60688168;33.71513116;86.5574273;17.0766539;26.68131547;37.93443659;107.007326;15.87551882;22.95437838;33.89290273;98.87201698;28.29785674;28.73079083;44.15888555;141.8028183;33.84107621;34.06202206;41.99209735;129.7010625;32.78580555;30.24424525;39.79302681;123.0677467;29.01021618;28.58367685;39.81780074;127.5350233;31.15943692;30.83493131;42.05707918;121.2039002;26.41805627;22.42830695;27.20196491;72.87766222;-1.90903;-1.4792;-11.4742;-5.6823;-1.04176;-4.92648;-1.76796;-3.8351
S21;form_right;26.66270958;29.13088896;30.16395612;89.64092277;12.97968718;13.85047936;16.81540642;53.6906626;25.41072995;24.29436106;23.37326537;77.23131608;27.9744834;27.25160525;28.82563057;80.19694276;30.18698371;28.3714275;38.82092563;148.7624607;35.1802891;35.46457199;39.81384575;153.8618506;34.78113888;34.49254049;38.85821971;151.0990785;32.6181589;32.80884418;41.78894717;153.1423119;29.77753296;28.72337689;36.74898446;145.7874877;33.95592533;31.70737881;29.86662344;134.7433835;-1.18777;-13.9751;6.07428;5.54773;-6.16331;-9.5097;-1.70634;3.5696
S22;form_right;21.54637599;29.3760004;40.72889269;134.0753291;9.013514255;13.24476227;26.50156774;87.55034441;19.21537205;26.89922885;35.2658314;118.9761344;19.71442386;26.04972396;37.4999756;122.0732842;25.37646993;27.80787983;42.07025141;143.6534216;34.39526886;35.78278389;45.12951161;150.2535045;36.48712732;36.11341254;45.01535465;147.3856992;25.8963559;29.62928801;44.13225962;142.9299161;27.98512458;30.26804796;42.3435491;137.4130166;32.27383792;33.12118452;40.70320981;122.3211434;1.56805;1.49683;6.00051;4.26964;-7.03302;3.8042;-4.92721;1.55319
S23;form_right;32.10844123;31.81587777;40.42946779;140.6088027;12.31341144;19.07886095;28.72916446;105.4511335;26.4154049;28.83360268;35.68047006;116.3571241;29.40481663;29.313779;37.45150204;117.7020098;19.8256284;32.79111828;44.18538367;152.5263715;35.18352235;37.10279563;45.3024306;145.5733939;36.39252425;35.58086763;44.15748231;140.1519516;25.06898829;34.34382958;44.30468691;144.8825535;22.6741367;33.27047382;43.27001612;145.0087503;33.47448939;33.01692353;38.35628806;107.0246742;7.90549;5.33997;6.73503;3.90932;-5.50488;5.13971;-5.8496;3.01687
S24;form_right;25.79691249;31.68167473;39.91194388;140.307328;9.854124879;18.74011547;32.55253458;114.2490417;18.56492132;28.58458599;34.37797979;113.1099515;17.99959716;27.49262442;35.3420226;117.479931;22.39093916;31.74085784;44.53465002;155.7276826;35.07145547;36.0753394;42.85983475;145.1796323;31.48269438;33.60368016;36.85921586;119.4307509;29.56098216;32.56393653;40.98355199;145.9234917;30.79595622;32.71700732;40.54808305;122.9660849;32.76882348;28.94024469;26.95671083;80.78237096;1.88438;3.58885;-4.6134;-0.66378;-2.22382;-4.34855;-3.94953;-0.0467795
S25;form_right;25.79691249;31.68167473;39.91194388;140.307328;9.854124879;18.74011547;32.55253458;114.2490417;18.56492132;28.58458599;34.37797979;113.1099515;17.99959716;27.49262442;35.3420226;117.479931;22.39093916;31.74085784;44.53465002;155.7276826;35.07145547;36.0753394;42.85983475;145.1796323;31.48269438;33.60368016;36.85921586;119.4307509;29.56098216;32.56393653;40.98355199;145.9234917;30.79595622;32.71700732;40.54808305;122.9660849;32.76882348;28.94024469;26.95671083;80.78237096;1.88438;3.58885;-4.6134;-0.66378;-2.22382;-4.34855;-3.94953;-0.0467795
S26;form_right;24.21714345;24.64640534;37.71019694;127.6614204;16.77341992;18.61896845;29.05300727;86.11590809;23.77177981;25.35284295;36.06604776;114.7430807;23.41998931;23.27006917;31.71762138;100.2513984;33.67626156;36.45304932;44.88679151;145.4973473;34.06163096;36.06404775;42.15149489;135.4204099;31.99175439;35.45727428;41.38130943;136.8741318;33.61375781;35.20703028;40.80110923;127.1792439;32.92509586;35.71407047;42.16723671;133.4692471;28.13631473;32.2224877;30.81802512;87.55970083;-0.93576;-1.97131;-3.67676;1.25481;5.26555;-2.3917;1.63165;2.46019
S27;form_right;11.68144653;19.30386694;32.93023761;110.9258209;11.25074178;15.44730331;27.57418413;79.74504031;14.02171946;22.4265469;31.95936871;105.2801833;12.84178639;18.13825482;29.62499034;87.19009959;33.73269794;36.11942014;46.34249099;141.297805;28.26894372;32.72493058;41.53482909;130.7704865;32.27965483;34.61341502;42.19875871;124.8654333;31.05056826;33.36280383;43.32768312;134.0711503;34.72598777;35.90603126;43.34396151;134.3004583;26.4780414;28.61686655;32.90558619;90.90454431;-10.7117;-6.85891;-6.61341;-3.63675;7.46985;-3.81795;1.33528;1.77903
S28;form_right;10.62812159;20.32679423;31.79614773;117.4180542;9.02817327;12.67532845;21.49539427;81.22440821;17.65139097;23.34844609;34.44173001;114.9440766;11.86347037;15.78821062;23.12477815;93.85054994;30.47522829;34.36695176;41.99988284;145.1679616;28.74553051;35.77785727;41.13045454;133.493725;25.4656393;33.30828639;40.40313208;141.0501394;29.15298844;32.53009199;38.66697201;130.5833746;35.25102234;37.11771865;43.76988346;139.541299;24.50453956;31.0540494;30.83546412;96.71281755;-11.9583;-7.54003;-4.13622;-2.98636;8.27751;-7.2905;-1.71984;1.90869
S29;form_right;8.158830435;15.40209853;31.61190052;127.86157;6.898504718;10.24687859;22.1902888;81.56516256;8.573325295;14.92039347;31.15018279;121.1770272;9.141787737;14.05791706;26.39184717;97.17180324;35.73167344;35.29863017;44.68739207;135.706413;34.75031424;35.7728318;40.55528907;140.0139935;34.22771817;35.1755925;42.91597641;117.9845704;36.1045942;34.22139461;38.1507227;129.4241869;34.7723416;35.21001824;43.18373604;136.7952943;32.69901974;31.44316399;30.88779169;98.86694365;-18.1359;-7.99099;-6.19714;2.86535;9.48472;-6.95475;3.44782;3.7776
S30;form_right;22.4439708;21.51839949;37.94775365;112.1720893;15.12277859;13.30907962;29.26727118;79.92298195;27.20086823;23.5561079;35.71653667;113.9625431;23.9951109;21.43513313;32.30802513;98.87045387;33.19196012;33.82587552;44.82982747;151.0904619;33.64351447;32.19270254;42.65394688;147.5348748;33.54420192;34.24629892;40.76933347;140.0137806;32.65132715;31.16715703;42.85612231;140.802678;34.12090898;33.32632029;42.72904817;141.9942648;33.55850753;29.01506216;33.23394618;115.4573749;-1.45621;-2.75893;1.32092;0.438092;1.85552;-0.626645;2.29161;-0.762373
S31;form_right;12.31761592;13.24500384;35.18773199;112.097272;8.065677821;8.207428034;23.85529967;64.19263652;15.10998487;12.99987127;28.36998856;85.55558077;13.82561435;12.08870858;28.94620654;85.73759803;36.49442414;36.49287849;43.9342071;144.6056718;37.29265222;37.55170766;40.50116856;136.7124057;36.78831231;36.42093163;44.56547998;142.1836622;34.79792602;36.12748002;42.54075371;136.5801668;35.07259123;35.92325491;43.8750393;142.8323076;36.91361192;34.02376718;33.83667623;101.404207;-16.0693;-11.0845;-1.30632;6.46876;7.99926;-3.60406;4.70804;5.22918
S32;form_right;15.81536702;21.00950614;36.70195266;117.929001;10.06274671;14.6042034;29.02502981;79.95482273;17.19836713;23.50901604;37.11984479;116.0540147;17.86288019;21.0827767;33.92584666;103.4964792;37.57690188;36.56777229;47.1449329;151.5823974;37.04529807;35.97789015;45.98309069;152.0647402;37.02105791;34.04669718;45.8610136;148.9231168;35.11762589;33.17319823;44.12281987;140.0800063;35.64919931;33.43194135;45.85984616;146.7370032;33.63851933;30.40868303;39.7895324;122.4780454;-4.47031;-0.0492151;4.99633;5.05926;4.89493;5.36372;3.20377;0.598657
S33;form_right;14.16181549;14.05162438;33.59499624;103.4494571;8.420743847;9.294693691;24.23335319;67.25892894;17.02996584;16.1362306;34.47297308;102.2463405;14.05974331;11.66458113;26.95067169;78.01723019;37.08610374;34.83964886;46.01593331;152.8965444;38.49137939;34.46314103;42.48799134;139.5499675;38.50081856;36.07461573;43.28859932;138.868074;34.6922343;30.63719596;40.41211982;132.0168048;36.18536745;33.76889635;43.63772783;138.9956361;36.79239964;29.33389186;32.18882758;91.9953181;-13.9516;-9.40851;-3.55895;4.32183;8.31959;-3.71172;4.95929;-1.35009
S34;form_right;9.328056274;13.69619953;33.94928064;130.2767061;9.522026052;9.014330894;25.70506933;87.95747324;9.234161442;13.77690081;31.94711974;109.4714371;9.665483;15.57756438;33.07386604;106.344852;36.94076629;36.47287581;46.24134083;148.3035412;35.30970472;34.46540103;39.85192172;135.2709277;32.44295086;31.86024614;41.38039369;132.337637;30.89600654;32.29455053;39.72925568;129.4865023;28.44208467;28.52230947;39.81466431;131.053018;29.51788809;25.68500473;28.51326103;87.08277727;-15.3489;-5.86445;-8.26819;-2.03679;4.24162;-7.32672;2.28795;-1.35485
S35;form_right;9.960059424;14.06768284;31.35328562;109.3122936;6.500282269;9.027867278;21.35763385;73.58615797;13.50478438;17.04711682;30.36008361;108.6134943;10.13732181;13.00385824;26.94425156;87.76962019;35.11917584;35.82140601;43.60057869;145.9585286;36.06784028;35.10859719;42.63375436;138.8040167;31.28404905;31.23190253;37.75038349;120.8946143;30.52318885;32.15196814;39.98192242;128.8456015;31.3205718;32.83735233;40.75918316;129.2681092;29.37974982;26.96070626;30.27639696;86.36153452;-16.6984;-10.6266;-8.97616;-1.31166;6.90636;-9.96017;0.600805;-0.236732
S36;form_right;13.13524882;17.75020474;36.13696588;136.9384598;10.13566824;12.95358235;24.5829788;88.15173007;15.80606136;19.27419706;33.44269864;125.3951202;14.91305744;18.74786414;28.2306292;100.1034492;37.53855649;37.68084178;44.7553399;139.4539148;36.4372098;36.26474688;42.9396953;138.7045895;36.67204779;36.30642106;42.17510046;133.5519205;35.87661168;35.92691159;41.27367201;129.6673999;36.63627847;36.02341942;43.58835049;141.7180786;35.22691202;33.98500488;32.45600489;100.6045773;-10.6785;-3.42486;-2.06303;5.83854;8.97149;-2.40605;4.10626;4.52911
S37;form_right;26.47032578;26.09984021;37.20550825;130.5403758;17.6234331;16.22989737;27.20577743;88.65922722;29.68127621;26.52455937;33.14738601;114.4446749;24.42459413;21.74014438;29.64187673;100.2878334;35.51709673;34.74156695;46.01589405;148.2470184;34.76023595;35.12856942;40.96838416;131.7069203;35.87104708;33.09496621;41.88728984;136.3772105;30.20481632;30.18290824;39.05070711;122.9588957;34.36892741;32.55858771;42.27591122;136.2630514;29.52802478;24.99919999;27.86985675;84.38715973;-0.200536;-2.82401;-6.02849;0.0432284;4.33754;-4.58055;2.28783;-3.07915
