Subject;Test;DeltaOz;ThetaOz;AlphaOz;BetaOz;DeltaO1O2;ThetaO1O2;AlphaO1O2;BetaO1O2;DeltaPO;ThetaPO;AlphaPO;BetaPO;DeltaPOL;ThetaPOL;AlphaPOL;BetaPOL;DeltaPOR;ThetaPOR;AlphaPOR;BetaPOR;Delta;Theta;Alpha ;Beta
S18;Reposo_EEG _AO;0.212635174;0.302692848;0.245805987;0.236541399;0.133158955;0.257399963;0.287988355;0.317971354;0.141247172;0.232610059;0.28320849;0.338549723;0.126703289;0.242987558;0.328880766;0.298502767;0.148907195;0.22903452;0.292504758;0.326171806;0.152530357;0.25294499;0.287677671;0.30354741
S19;Reposo_EEG _AO;0.208907798;0.314295403;0.288917434;0.185213647;0.202807327;0.268663948;0.327437945;0.197635413;0.191739633;0.255354617;0.359020565;0.189431762;0.142324363;0.268215564;0.362131989;0.220618829;0.19508112;0.248381996;0.374955101;0.179571188;0.188172048;0.270982306;0.342492607;0.194494168
S20;Reposo_EEG _AO;0.424227998;0.268283831;0.162228582;0.144378231;0.190849231;0.210749147;0.286036239;0.310873717;0.162158489;0.164969255;0.306319458;0.363862799;0.193218336;0.196198731;0.312541768;0.296321807;0.200029168;0.196982285;0.281289381;0.319354446;0.234096644;0.20743665;0.269683086;0.2869582
S22;Reposo_EEG _AO;0.22033672;0.201525427;0.129016347;0.429747419;0.172355003;0.19718176;0.213314018;0.404489763;0.187145384;0.209479778;0.260739486;0.336921068;0.158832162;0.208674794;0.213601875;0.406181861;0.18766832;0.188057139;0.221803165;0.390343951;0.185267518;0.20098378;0.207694978;0.393536812
S24;Reposo_EEG _AO;0.239411385;0.328904913;0.241296463;0.18863771;0.222933535;0.321719308;0.234109027;0.219468634;0.260652103;0.317073815;0.215585648;0.204590926;0.201356642;0.317912979;0.255032042;0.223349041;0.244646742;0.305201901;0.246683403;0.201302251;0.233800081;0.318162583;0.238541317;0.207469712
S25;Reposo_EEG _AO;0.203035909;0.234400368;0.155910795;0.397782166;0.17291559;0.220648877;0.191410366;0.409065279;0.241483089;0.252739039;0.157622387;0.344481899;0.187158073;0.208348216;0.168887403;0.429527576;0.151518251;0.183542047;0.179145446;0.481409619;0.191222182;0.219935709;0.170595279;0.412453308
S26;Reposo_EEG _AO;0.144811569;0.308471197;0.290405214;0.252100185;0.072116298;0.29732045;0.39636979;0.230583083;0.100823281;0.30358784;0.393840829;0.198558663;0.074167124;0.271583446;0.399806974;0.249605863;0.109530307;0.274548903;0.415838521;0.197549006;0.100289716;0.291102367;0.379252266;0.22567936
S27;Reposo_EEG _AO;0.155525433;0.379507788;0.243179621;0.219251247;0.094900058;0.49244388;0.267891912;0.143591418;0.072882574;0.56576444;0.254691971;0.105828315;0.094086359;0.455256154;0.305983998;0.143513822;0.074378361;0.474608718;0.301712054;0.147975831;0.098354557;0.473516196;0.274691911;0.152032127
S28;Reposo_EEG _AO;0.357907058;0.310736037;0.17287582;0.155866076;0.253159888;0.195014855;0.318160157;0.230258451;0.254794501;0.178564349;0.326357071;0.237853186;0.259583003;0.212202737;0.298743528;0.227190318;0.18009432;0.142443676;0.396931457;0.27797289;0.261107754;0.207792331;0.302613607;0.225828184
S29;Reposo_EEG _AO;0.162714701;0.193922579;0.367522353;0.266157547;0.113398062;0.132805041;0.565708523;0.183747343;0.188666265;0.143961066;0.526493874;0.13787755;0.116664995;0.15128762;0.534778667;0.191421929;0.086129492;0.107252473;0.632310932;0.170977606;0.133514703;0.145845756;0.52536287;0.190036395
S30;Reposo_EEG _AO;0.099574717;0.21903878;0.30496989;0.373057443;0.091883546;0.188952198;0.317099511;0.398345044;0.096598377;0.159509889;0.377049915;0.363093449;0.08155255;0.1687108;0.370912972;0.376304761;0.074777177;0.144413646;0.413370038;0.364318229;0.088877273;0.176125063;0.356680465;0.375023785
S31;Reposo_EEG _AO;0.332572975;0.221793754;0.178524881;0.263416601;0.334134925;0.253452688;0.179672731;0.229265689;0.312574947;0.331330838;0.168365014;0.184650839;0.305941998;0.274655316;0.169498136;0.246639191;0.293704881;0.292432279;0.190756976;0.219160607;0.315785945;0.274732975;0.177363548;0.228626585
S32;Reposo_EEG _AO;0.135092203;0.264566946;0.300307173;0.297525903;0.164368608;0.202269716;0.340622026;0.290698044;0.201803739;0.216586929;0.322852749;0.256694475;0.164499929;0.189583082;0.35943915;0.284081795;0.151218329;0.215857804;0.34166998;0.288898651;0.163396562;0.217772895;0.332978216;0.283579774
S33;Reposo_EEG _AO;0.127308335;0.148879039;0.293399001;0.425481378;0.097993881;0.124187806;0.344888809;0.427037722;0.13963132;0.152694548;0.294331841;0.406395372;0.095867018;0.137260826;0.292894315;0.468400875;0.082790559;0.125619713;0.395574073;0.388919752;0.108718223;0.137728386;0.324217608;0.42324702
S34;Reposo_EEG _AO;0.045399437;0.076905082;0.781278527;0.095307921;0.029325331;0.060538655;0.825452489;0.084162542;0.04226225;0.082444504;0.792117376;0.082714977;0.031528015;0.07284087;0.804253536;0.090739986;0.029296439;0.067189163;0.815374907;0.087460544;0.035562294;0.071983655;0.803695367;0.088077194
S35;Reposo_EEG _AO;0.35630153;0.252131909;0.11462818;0.269699643;0.339440503;0.298313437;0.115634067;0.242417125;0.405415638;0.303093406;0.097711312;0.191557652;0.311223465;0.286360586;0.13003941;0.267010613;0.329437173;0.265786548;0.139545754;0.261877841;0.348363662;0.281137177;0.119511745;0.246512575
S36;Reposo_EEG _AO;0.178046755;0.200275421;0.28473756;0.328809057;0.2510358;0.211632408;0.363423432;0.169487363;0.310388454;0.238202976;0.333418861;0.1144945;0.208199975;0.203695653;0.410168275;0.174041938;0.20858304;0.182972652;0.366319627;0.233057397;0.231250805;0.207355822;0.351613551;0.203978051
S37;Reposo_EEG _AO;0.247093116;0.228397806;0.246316715;0.276595017;0.189725665;0.18534389;0.316764982;0.306744023;0.171368939;0.186150842;0.345894947;0.295038488;0.184619249;0.189236714;0.318046917;0.306695608;0.156167791;0.164127633;0.34313527;0.335083288;0.189794952;0.190651377;0.314031766;0.304031285
S2;Reposo_EEG;0.084274014;0.201487068;0.537996972;0.169335418;0.069030264;0.131210451;0.590972933;0.200204766;0.072147971;0.109768218;0.594885797;0.214555509;0.062187389;0.120997046;0.573040757;0.232266151;0.068567234;0.111963024;0.670300946;0.145218454;0.071241374;0.135085161;0.593439481;0.19231606
S3;Reposo_EEG;0.129752836;0.141818082;0.294098256;0.432593025;0.105326067;0.132403893;0.278378404;0.481521348;0.115038311;0.122314911;0.286978031;0.472940926;0.110094479;0.116783947;0.298931301;0.471989;0.080700624;0.118565868;0.322477922;0.475892618;0.108182463;0.12637734;0.296172783;0.466987383
S5;Reposo_EEG;0.058222969;0.080276474;0.509030069;0.350691699;0.069633325;0.081479043;0.492206397;0.354887236;0.101530297;0.105112813;0.463702107;0.32786402;0.067520677;0.075908188;0.48916576;0.364947241;0.072784084;0.083950598;0.519846535;0.322242658;0.07393827;0.085345423;0.494790174;0.344126571
S6;Reposo_EEG;0.072897328;0.12568435;0.60266697;0.19572306;0.04788344;0.110856753;0.582124157;0.25316228;0.051565874;0.109542341;0.566956012;0.265748812;0.056288905;0.113465391;0.549672512;0.273485164;0.035139566;0.082018473;0.676232575;0.201832527;0.052755023;0.108313462;0.595530445;0.237990369
S7;Reposo_EEG;0.195539237;0.253267508;0.347262422;0.200275812;0.091141657;0.220715077;0.368952016;0.314429454;0.121071866;0.182030077;0.300320125;0.38722195;0.187584752;0.224105646;0.308748788;0.27588741;0.15036833;0.182743005;0.356199943;0.304559825;0.149141168;0.212572263;0.336296659;0.29647489
S10;Reposo_EEG;0.046024186;0.105495539;0.740327578;0.105825812;0.049808872;0.077252211;0.729788469;0.139597451;0.065375838;0.080526231;0.699697254;0.150334714;0.046026187;0.071993556;0.754244763;0.12462115;0.048898875;0.074528517;0.742697584;0.130524745;0.051226792;0.081959211;0.73335113;0.130180774
S11;Reposo_EEG;0.05679092;0.068744778;0.778342223;0.094905793;0.031642031;0.040658811;0.846635203;0.079947435;0.023027635;0.033809733;0.87434553;0.06780678;0.022152139;0.035320247;0.875324974;0.066445264;0.023200981;0.031312211;0.871080842;0.073190522;0.031362741;0.041969156;0.849145754;0.076459159
S13;Reposo_EEG;0.205198193;0.222247612;0.185734879;0.382843269;0.175149074;0.176624066;0.207953411;0.43653499;0.184607654;0.204058495;0.201741109;0.40583096;0.195857634;0.172661759;0.199217296;0.428344172;0.185229591;0.179803193;0.188590645;0.442794514;0.189208429;0.191079025;0.196647468;0.419269581
S14;Reposo_EEG;0.123002082;0.142456723;0.58786154;0.145013898;0.11123515;0.112794808;0.593687731;0.179632783;0.099443084;0.099083354;0.583171626;0.214779568;0.088403754;0.096668765;0.601725299;0.210329224;0.092048957;0.11234411;0.626354141;0.166922519;0.102826605;0.112669552;0.598560067;0.183335598
S16;Reposo_EEG;0.134461145;0.163576543;0.52949572;0.170416137;0.070174534;0.126091634;0.574502279;0.224427731;0.057810872;0.116945868;0.596025058;0.223470816;0.07448564;0.127096002;0.582062343;0.211151803;0.045667606;0.095339775;0.661639766;0.193635539;0.076519959;0.125809964;0.588745033;0.204620405
S18;Reposo_EEG;0.155612236;0.276217385;0.296412815;0.268988361;0.121803385;0.221344557;0.316563319;0.335844515;0.128436339;0.210779161;0.32407976;0.332117003;0.100113673;0.220423736;0.363145606;0.312531728;0.121654201;0.185267784;0.353834449;0.336226083;0.125523967;0.222806525;0.33080719;0.317141538
S19;Reposo_EEG;0.103513269;0.230890014;0.533972493;0.129876276;0.081523626;0.205851259;0.579687108;0.131299188;0.070423092;0.208664055;0.585607206;0.13324467;0.075896006;0.212717135;0.558711271;0.150703873;0.071426721;0.211525628;0.590173673;0.125530215;0.080556543;0.213929618;0.56963035;0.134130844
S20;Reposo_EEG;0.097505912;0.103204504;0.670500556;0.128141749;0.076903466;0.06194811;0.719899833;0.140695415;0.051340183;0.051545351;0.756723306;0.139754503;0.046130787;0.051075234;0.760819795;0.141365929;0.031232099;0.037581742;0.799591947;0.131166242;0.060622489;0.061070988;0.741507087;0.136224768
S22;Reposo_EEG;0.113077965;0.129640326;0.309647611;0.424037747;0.082199013;0.10193396;0.463773837;0.337458014;0.11294036;0.096827805;0.51712563;0.265687591;0.099085176;0.098857901;0.444968905;0.341507635;0.081465004;0.105837932;0.475510308;0.324491662;0.097753504;0.106619585;0.442205258;0.33863653
S24;Reposo_EEG;0.078346676;0.069474141;0.792051919;0.059393913;0.036896226;0.032056372;0.872361685;0.057907385;0.033632913;0.034009973;0.871126772;0.060400682;0.045052741;0.042964594;0.839448861;0.071762799;0.018393616;0.022222865;0.913243523;0.045611906;0.042464434;0.040145589;0.857646552;0.059015337
S25;Reposo_EEG;0.094669445;0.133350225;0.236356026;0.525523254;0.074378321;0.118600898;0.255009206;0.546412143;0.098012051;0.13547646;0.217536881;0.544733945;0.070877321;0.119808169;0.247864184;0.554618627;0.061407297;0.112031018;0.226519838;0.593892629;0.079868887;0.123853354;0.236657227;0.55303612
S26;Reposo_EEG;0.100323978;0.240852873;0.400259025;0.255348224;0.04550265;0.200026928;0.549163135;0.2036623;0.041005653;0.181184125;0.607314477;0.169343867;0.039560124;0.157253831;0.628603797;0.17293961;0.045807081;0.151555564;0.629674091;0.171418333;0.054439897;0.186174664;0.563002905;0.194542467
S27;Reposo_EEG;0.075185881;0.121205392;0.604818836;0.196159824;0.030069369;0.084575785;0.806330278;0.078215612;0.025388796;0.081295235;0.832570864;0.060090343;0.026101769;0.070480913;0.824343165;0.078147274;0.036227724;0.082371674;0.787439508;0.092821238;0.038594708;0.0879858;0.77110053;0.101086858
S28;Reposo_EEG;0.221513101;0.191018996;0.437418045;0.148275076;0.074475729;0.103276904;0.687651944;0.133602484;0.051755516;0.080248419;0.743612195;0.123574519;0.08309149;0.092454983;0.68100182;0.142757538;0.046312427;0.06180209;0.766446298;0.124375656;0.095429653;0.105760278;0.66322606;0.134517055
S29;Reposo_EEG;0.053648048;0.071127437;0.706106795;0.164252818;0.027265527;0.049742336;0.826031248;0.095934408;0.022035282;0.050573835;0.850928576;0.075932646;0.023105274;0.050066756;0.844424834;0.081243624;0.021693529;0.047339296;0.83480723;0.095305742;0.029549532;0.053769932;0.812459737;0.102533848
S30;Reposo_EEG;0.109020954;0.167148824;0.389120703;0.333325484;0.122065911;0.179869732;0.363380155;0.332699565;0.087888193;0.198967827;0.395875675;0.314956722;0.086168781;0.166627223;0.409986133;0.335601928;0.105066296;0.180222553;0.414471485;0.298121822;0.102042027;0.178567232;0.39456683;0.322941104
S31;Reposo_EEG;0.093786048;0.161263491;0.325434863;0.409929632;0.100613661;0.126022052;0.415383452;0.347486103;0.212511742;0.17703849;0.367511855;0.23652803;0.139023535;0.154078837;0.311693839;0.382427803;0.215852911;0.131266499;0.409845877;0.235910554;0.152357579;0.149933874;0.365973977;0.322456424
S32;Reposo_EEG;0.064721261;0.15075259;0.609652004;0.171638707;0.047461569;0.111341078;0.710168937;0.128927261;0.046294651;0.120490678;0.722176217;0.109531706;0.043217147;0.104563215;0.736725473;0.113610674;0.045751037;0.121051083;0.717010533;0.114611693;0.049489133;0.121639729;0.699146633;0.127664008
S33;Reposo_EEG;0.067415936;0.12233818;0.503529604;0.304329585;0.039961438;0.096937627;0.571155869;0.288256125;0.035625771;0.086307537;0.595797637;0.277857174;0.040500108;0.088737707;0.590489975;0.277113266;0.03083117;0.071996827;0.602013633;0.292027504;0.042866885;0.093263576;0.572597344;0.287916731
S34;Reposo_EEG;0.047777221;0.07715967;0.780099639;0.093708844;0.025077249;0.050440181;0.848093668;0.075548949;0.027576684;0.056479461;0.848234823;0.066992363;0.027818746;0.054454863;0.843691268;0.073152166;0.024085721;0.051261395;0.840018326;0.083784996;0.030467124;0.057959114;0.832027545;0.078637464
S35;Reposo_EEG;0.283679613;0.242306595;0.185644072;0.276834768;0.240759877;0.322701991;0.161181639;0.269844263;0.301998069;0.309094157;0.153968855;0.230869714;0.263885067;0.302676796;0.179883379;0.24967627;0.233395723;0.259772006;0.18889342;0.312245254;0.26474367;0.287310309;0.173914273;0.267894054
S36;Reposo_EEG;0.050778443;0.170920042;0.693038836;0.084680919;0.030957525;0.132530597;0.783739305;0.052462975;0.030032278;0.136101305;0.793875031;0.039771344;0.028817046;0.121722883;0.807906183;0.041272098;0.030039433;0.143795878;0.781334287;0.044608159;0.034124945;0.141014141;0.771978728;0.052559099
S37;Reposo_EEG;0.049722266;0.158464239;0.650777495;0.14018558;0.038065168;0.118728891;0.728197255;0.114436434;0.036563025;0.095233898;0.765610582;0.102056151;0.03669618;0.111277615;0.735980802;0.115597185;0.039882444;0.098606932;0.741687824;0.119122824;0.040185817;0.116462315;0.724450792;0.118279635
S2;acuity_both;0.181081682;0.405836862;0.227455402;0.181379482;0.184399505;0.372529594;0.222724724;0.213815773;0.162234408;0.32134562;0.246521642;0.262209276;0.16786999;0.331927335;0.247631176;0.245663065;0.15914367;0.37838974;0.246564682;0.209721431;0.170945851;0.36200583;0.238179525;0.222557805
S3;acuity_both;0.410708666;0.241469203;0.156148152;0.188337266;0.27614883;0.261036331;0.187235452;0.270866556;0.236075757;0.256209667;0.196302198;0.305149149;0.272483955;0.249434636;0.194050291;0.277945544;0.279744065;0.243881432;0.189382836;0.281180382;0.295032255;0.250406254;0.184623786;0.264695779
S5;acuity_both;0.138780797;0.22923294;0.418557953;0.210266891;0.182454086;0.24833453;0.349040877;0.216272566;0.182782831;0.194578595;0.361834444;0.255711124;0.145144837;0.143733189;0.47528855;0.231982282;0.180455256;0.2376277;0.338856922;0.239091669;0.165923561;0.210701391;0.388715749;0.230664906
S6;acuity_both;0.208528923;0.321728;0.192358735;0.272400802;0.166829249;0.292600875;0.204594656;0.33106465;0.164050524;0.236685181;0.222239445;0.371584119;0.16862874;0.250544975;0.21988859;0.35619697;0.179251744;0.291526254;0.225987223;0.29730271;0.177457836;0.278617057;0.21301373;0.32570985
S7;acuity_both;0.23516288;0.440399619;0.150035787;0.170820852;0.15403446;0.398435214;0.182471649;0.261049711;0.191685522;0.34040704;0.174597605;0.289661363;0.178703561;0.394673224;0.168886365;0.254589879;0.216634474;0.355068427;0.17768988;0.2457746;0.195244179;0.385796705;0.170736257;0.244379281
S10;acuity_both;0.206119093;0.390247338;0.194413887;0.206358071;0.112754486;0.303556209;0.233302635;0.342899318;0.168296964;0.235582242;0.229017969;0.356717545;0.312681316;0.242999096;0.180005457;0.25827689;0.11128158;0.293853506;0.251029659;0.334870829;0.182226688;0.293247678;0.217553921;0.299824531
S11;acuity_both;0.145183923;0.346679876;0.24754604;0.255815823;0.152582857;0.286245436;0.241998437;0.313103932;0.193566132;0.268539485;0.246481052;0.285867868;0.179958197;0.299504103;0.258930107;0.257498484;0.157144723;0.254215005;0.273334894;0.307603661;0.165687166;0.291036781;0.253658106;0.283977954
S13;acuity_both;0.240999903;0.355711086;0.146295037;0.25267408;0.221815985;0.335555519;0.167122678;0.271521166;0.230348417;0.291355692;0.16850738;0.305875651;0.208941488;0.313522447;0.162674153;0.310366619;0.201177516;0.295152721;0.187147177;0.312788105;0.220656662;0.318259493;0.166349285;0.290645124
S14;acuity_both;0.220513884;0.211096672;0.353255608;0.211445467;0.239878394;0.175436335;0.299665238;0.277907572;0.192071223;0.179430057;0.266358338;0.351245712;0.160448088;0.171001913;0.29387257;0.362244828;0.188575052;0.187798336;0.332985869;0.283885931;0.200297328;0.184952663;0.309227525;0.297345902
S16;acuity_both;0.198096562;0.339633031;0.235576849;0.222909013;0.144013349;0.269384313;0.247147016;0.333858917;0.153548527;0.240828813;0.247495031;0.3520021;0.165278315;0.232624949;0.281691092;0.31572962;0.156915697;0.267618429;0.229685762;0.339153715;0.16357049;0.270017907;0.24831915;0.312730673
S18;acuity_both;0.11213466;0.31278877;0.18398553;0.386777283;0.093649205;0.309757896;0.213094282;0.377889576;0.105243188;0.31515438;0.259123559;0.314897139;0.089122586;0.312880284;0.234552334;0.359173485;0.10570821;0.281828172;0.255855629;0.350676138;0.10117157;0.3064819;0.229322267;0.357882724
S19;acuity_both;0.167032594;0.45325216;0.219127066;0.157877599;0.134367233;0.424640313;0.24916115;0.188717459;0.118605845;0.341110197;0.305359341;0.231079112;0.122045156;0.322599507;0.323239195;0.228054616;0.127554035;0.397487451;0.270108567;0.202060167;0.133920973;0.387817926;0.273399064;0.201557791
S20;acuity_both;0.219495369;0.399496041;0.193513651;0.186558942;0.209046246;0.366625284;0.200605975;0.222673548;0.222602208;0.306938555;0.215400765;0.253028061;0.222904317;0.281349367;0.242100293;0.252082425;0.231117764;0.34716949;0.219225552;0.201299969;0.221033181;0.340315747;0.214169247;0.223128589
S22;acuity_both;0.233670257;0.365255985;0.149052652;0.22306385;0.18008887;0.386047159;0.169467248;0.247672404;0.195139296;0.344272367;0.170364455;0.279975842;0.197888641;0.304656931;0.159104194;0.315816512;0.199890476;0.363299483;0.166995156;0.251226775;0.201335508;0.352706385;0.162996741;0.263551077
S24;acuity_both;0.179412181;0.282030803;0.326924906;0.208431415;0.15559914;0.289736092;0.303833074;0.245516528;0.170910162;0.329327896;0.272834513;0.222050976;0.16087046;0.28901539;0.29747376;0.248604169;0.139538067;0.344671203;0.301523369;0.210162377;0.161266002;0.306956277;0.300517924;0.226953093
S25;acuity_both;0.21615149;0.299673105;0.172496324;0.305429873;0.153489687;0.312005219;0.161363465;0.366226768;0.185480993;0.315640342;0.144412636;0.347901274;0.159038483;0.281227847;0.183282796;0.369848054;0.144665066;0.27986887;0.186369816;0.382415003;0.171765144;0.297683077;0.169585007;0.354364194
S26;acuity_both;0.122378288;0.394166937;0.253908424;0.226716276;0.08807947;0.398853217;0.33068378;0.179236894;0.092243427;0.380178489;0.369543358;0.154743596;0.089243998;0.361884216;0.365158458;0.18074448;0.116150832;0.3545916;0.321176014;0.203663294;0.101619203;0.377934892;0.328094007;0.189020908
S27;acuity_both;0.156332765;0.562816593;0.132546363;0.145219424;0.071333081;0.693215617;0.142878427;0.091247699;0.056469642;0.710073613;0.158278315;0.074390792;0.068963715;0.661681009;0.170471405;0.097419383;0.071242456;0.696202991;0.14644423;0.084939765;0.084868332;0.664797965;0.150123748;0.098643413
S28;acuity_both;0.298209024;0.351335702;0.18994838;0.156357069;0.278964933;0.35505102;0.197551593;0.164994895;0.273348867;0.362482179;0.191603298;0.169975279;0.307626814;0.352858492;0.181223112;0.155572499;0.251091671;0.330120062;0.213433403;0.201910086;0.281848262;0.350369491;0.194751957;0.169761966
S29;acuity_both;0.220446197;0.352452805;0.20669571;0.217538186;0.219729137;0.312837413;0.246378114;0.218133883;0.262019204;0.289843846;0.23614397;0.208414865;0.236152199;0.271826666;0.253481894;0.23539651;0.214253512;0.27065974;0.267616316;0.243634554;0.23052005;0.299524094;0.242063201;0.2246236
S30;acuity_both;0.12044644;0.260698179;0.246870481;0.368059104;0.092332635;0.285239095;0.283980737;0.334901985;0.060400916;0.237585385;0.317627091;0.380644779;0.068996701;0.187824492;0.308948779;0.430485106;0.059018082;0.257362472;0.326345262;0.353613948;0.080238955;0.245741925;0.29675447;0.373540984
S31;acuity_both;0.188771258;0.408409736;0.192384451;0.207721912;0.178869802;0.41585222;0.191618438;0.210633142;0.236275361;0.417668045;0.168245529;0.175374468;0.204205841;0.387678722;0.191065478;0.214149963;0.233162373;0.410281161;0.175393329;0.178396718;0.208256927;0.407977977;0.183741445;0.197255241
S32;acuity_both;0.123622089;0.315202988;0.332173581;0.22594097;0.127320119;0.293046134;0.347565603;0.229350173;0.15312454;0.275197718;0.337941859;0.231110647;0.143545141;0.263507654;0.358104917;0.232533994;0.141705132;0.260633098;0.360248257;0.233957196;0.137863404;0.281517518;0.347206843;0.230578596
S33;acuity_both;0.17298424;0.260970784;0.198670975;0.353685238;0.156365832;0.291381912;0.23231357;0.308742324;0.167096905;0.278310363;0.231746999;0.311824666;0.152106219;0.284740427;0.252120362;0.299769798;0.153075853;0.27677349;0.211954826;0.34718637;0.16032581;0.278435395;0.225361346;0.324241679
S34;acuity_both;0.130844312;0.283429871;0.407075296;0.176565372;0.125753063;0.271952136;0.448859649;0.151968865;0.151400259;0.24092954;0.477286285;0.129198906;0.109035796;0.202650566;0.525060449;0.161460005;0.104744895;0.184218895;0.558970225;0.150455082;0.124355665;0.236636202;0.483450381;0.153929646
S35;acuity_both;0.180876289;0.429148632;0.164966853;0.220408608;0.263893082;0.434642978;0.131838819;0.165566564;0.408206364;0.381377917;0.076537274;0.129841453;0.2460396;0.405957576;0.135331614;0.208123371;0.270169489;0.355568483;0.106479386;0.257678829;0.273836965;0.401339117;0.123030789;0.196323765
S36;acuity_both;0.168350784;0.387156376;0.194669138;0.244427295;0.187496091;0.380260094;0.210324764;0.218498714;0.21011403;0.384199197;0.230435227;0.173220498;0.199223594;0.358074146;0.229336778;0.211041913;0.20375553;0.355137732;0.245687979;0.191894689;0.193788006;0.372965509;0.222090777;0.207816622
S37;acuity_both;0.251693365;0.354861941;0.159110817;0.23234986;0.29146467;0.288633737;0.169079391;0.249217403;0.307030704;0.252262956;0.187161171;0.252094312;0.267740956;0.258329503;0.205171644;0.267061886;0.246797627;0.258172811;0.201778418;0.291652892;0.272945464;0.28245219;0.184460288;0.258475271
