;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S32;Reposo_EEG _AO;0.1350922030665778;0.26456694648069556;0.30030717309664606;0.29752590279416957;0.14277781392032426;0.25129374922201964;0.30447390940174374;0.298868290857209;0.14244976528520228;0.24616085693331508;0.3038822719386721;0.30476134467843385;0.1256512246933104;0.26149775350427995;0.2944303773302188;0.31592943952241853;0.12090278081705089;0.2511225523743193;0.27434370067850766;0.34956189098863005;0.15154107850423015;0.2749449942763306;0.31264848911213844;0.2586299311579618;0.1450325526595251;0.31909545565356195;0.27474425579526035;0.25894777249332335
S33;Reposo_EEG _AO;0.12730833525805615;0.1488790390159862;0.2933990010662491;0.42548137835364463;0.10728432637658333;0.1392349543580057;0.2962708310350606;0.4521382996127672;0.11438646693202362;0.14770923503843467;0.27023480518959514;0.462877840729531;0.11771735940776366;0.14368782728188315;0.3595270662287179;0.37342385090164915;0.1082577248874817;0.14372567549905574;0.30732683923438825;0.4313408669663483;0.10831313565156621;0.15533971580083997;0.3116951774646629;0.41954367126749653;0.10277207754462016;0.1427219844127011;0.3927489415665192;0.35783380350887267
S34;Reposo_EEG _AO;0.04539943683461338;0.07690508209874321;0.7812785268638088;0.09530792062128013;0.04395455476743809;0.07127714839711156;0.7846913558759121;0.09899703006962386;0.04578530423128513;0.07884660576648067;0.7752237876699095;0.09888889770934282;0.039615548924226904;0.07122095902541438;0.7968964836939367;0.0913065526179407;0.04257866284930632;0.0866043284279502;0.763937099294904;0.10562655434331086;0.05072545104412344;0.09424338696615853;0.7655474983567793;0.08834645851062078;0.034925842533229036;0.07047737298937799;0.8137110217357844;0.07996541566897966
S35;Reposo_EEG _AO;0.3563015295302331;0.2521319094288472;0.11462817970235342;0.2696996434871984;0.32488627855996877;0.24301483955475192;0.12353416240237239;0.29996617771404843;0.31099742620842413;0.23973895567479067;0.1243982733822901;0.3151491214128021;0.3436738982473801;0.2562556084814929;0.12605664948547127;0.26647859660966416;0.3288146385292621;0.22519365341167816;0.12520323659193539;0.30942395855648436;0.33146016920636223;0.27469050321455085;0.1325634307556902;0.2544090172069708;0.3348206512600197;0.2572366314375132;0.14069469927625627;0.2612960691720265
S36;Reposo_EEG _AO;0.17804675506302184;0.2002754208661518;0.2847375598758713;0.3288090566338333;0.1725785609503854;0.19972179486419597;0.2996788255860838;0.31991647015725966;0.1455072489006714;0.1809463453628604;0.3057465631055948;0.35801220922347743;0.16298834986438052;0.18543671216150073;0.30228614836877843;0.33910923562314105;0.14963785537129115;0.16116963817732863;0.2199323464417511;0.44981286903970547;0.21820758877385735;0.22304947353567228;0.3028744678924208;0.2502346072779427;0.2118307072262667;0.2313281802195079;0.2754721326381541;0.27455163565491325
S3;Reposo_EEG;0.12975283601620405;0.14181808239534738;0.29409825630098596;0.43259302457042154;0.1373866230081146;0.146578058270258;0.27350098850868004;0.44072597742656133;0.1322682745311758;0.12475819275428424;0.2960984246631873;0.44547449857624816;0.12405102959108749;0.14986165971514545;0.2927673219349277;0.4311685904460921;0.11772264655389006;0.13436692108382925;0.3260088939029808;0.4195452863387776;0.13793531433835748;0.1544248967974997;0.30301286702806;0.4027117273752978;0.10607058893267435;0.14204907799907138;0.3162960148084045;0.4335467358104426
S5;Reposo_EEG;0.05822296897745896;0.08027647419264695;0.5090300688736991;0.3506916991044628;0.04292993855976866;0.07627260817559806;0.5063564026855271;0.3728031167418939;0.050821413669224366;0.06916197829814555;0.4956856950867389;0.3819339569534882;0.06582907450336486;0.0778318781973733;0.5206085736538814;0.3338864205998868;0.06296026307237107;0.0742165031791407;0.5179609492140811;0.3434992650250467;0.05801483478084891;0.08556057354238145;0.5109276271485697;0.34351888462150604;0.06793501302813632;0.09032140954597062;0.535233768991316;0.30504854706594375
S6;Reposo_EEG;0.07289732777231717;0.1256843504932838;0.6026669698542573;0.19572306009168403;0.06608798791091695;0.11793446369806451;0.6036415407035084;0.20819974960766308;0.05544090084721729;0.1027937987959838;0.582101205481848;0.25278927654382644;0.054063539709159926;0.10241774224823014;0.6548334341750611;0.18494710836064968;0.03878685229494583;0.0713947286898851;0.7046232804342906;0.18175604211445906;0.07308203480593668;0.1280855678017428;0.6251954720426068;0.17023180107353653;0.058788424451533455;0.11599064655039278;0.6816528675956796;0.1414018685813321
S10;Reposo_EEG;0.046024186323555455;0.1054955393502446;0.7403275784463239;0.10582581219421937;0.04530952306425228;0.09321952217579878;0.7592980700965055;0.09979692695662723;0.0435195591805808;0.08723107270070302;0.7694367070526078;0.09746080721180611;0.041012057533228015;0.09880333707732944;0.7549369706170971;0.10307512899413092;0.03486835274011458;0.08878962771808101;0.7775580397957955;0.09670898738102479;0.046193446973013086;0.09393694173376166;0.7654774209620846;0.09237354139836214;0.04395577751201279;0.09887762330215881;0.763893675586511;0.09133804193866978
S14;Reposo_EEG;0.12300208181358095;0.1424567228243682;0.5878615401505866;0.14501389824994396;0.12630470706099015;0.12704088304771113;0.5953123259424297;0.14985079373205903;0.10335564110517767;0.11797893790591446;0.5585985665273866;0.21689476046629125;0.12021412035950682;0.14780060150736166;0.5945942931414198;0.13560307279402328;0.10804133509135673;0.15526496543839402;0.6016694669330639;0.13323741114585946;0.10458815201600181;0.12350803169386856;0.6156917497119135;0.15516538496459262;0.10216799081571927;0.12256506221210689;0.6419452158303902;0.13204540218659194
